"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"40","186.95282665397426","230.86877502537084","0.016845703125","0.01171875","0.02197265625","1560","0.0003800973568740005","0.0003800973568740005","0","0.0003800973568740005","0.0003800973568740005","40_41:0.0779951956843411;40_34:0.002261896043619538;40_39:0.0033976743888547434","40_41:1;40_34:0.002556252105496648;40_39:1","40_41:68;40_34:96;40_39:68","true"
"41","24.706403754140634","30.13292603069856","0.03955078125","0.06640625","0.0126953125","1560","0.012002911557094533","0.012002911557094533","0","0.012002911557094533","0.012002911557094533","41_40:0.0779951956843411;41_42:0.08033527983926486","41_40:1;41_42:1","41_40:68;41_42:68","true"
"42","215.38409645284747","186.45480018370444","0.17626953125","0.1298828125","0.22265625","1560","0.00024632899837438797","0.00024632899837438797","0","0.00024632899837438797","0.00024632899837438797","42_41:0.08033527983926486;42_43:0.002668342996578421;42_54:0.002443480659265751","42_41:1;42_43:1;42_54:1","42_41:68;42_43:68;42_54:80","true"
"43","57.45284722899569","75.5199295599847","0.00732421875","0.009765625","0.0048828125","1560","0.00030982292390373945","0.00030982292390373945","0","0.00030982292390373945","0.00030982292390373945","43_42:0.002668342996578421;43_44:0.0031002784624912794","43_42:1;43_44:1","43_42:68;43_44:68","true"
"44","86.60238425506996","102.7878956738453","0.014404296875","0.0126953125","0.01611328125","1560","0.0003277600064184918","0.0003277600064184918","0","0.0003277600064184918","0.0003277600064184918","44_45:0.003804303776413942;44_35:0.0031891299421702435;44_43:0.0031002784624912794","44_45:1;44_35:0.004615046495150682;44_43:1","44_45:68;44_35:108;44_43:68","true"
"45","40.37270850365352","51.49765850615986","0.009765625","0.0166015625","0.0029296875","1560","0.000333909006073885","0.000333909006073885","0","0.000333909006073885","0.000333909006073885","45_44:0.003804303776413942;45_46:0.006204683275137679","45_44:1;45_46:1","45_44:68;45_46:68","true"
"46","215.27420044460962","135.51193514191465","0.053955078125","0.06787109375","0.0400390625","1560","0.0002528776474700657","0.0002528776474700657","0","0.0002528776474700657","0.0002528776474700657","46_45:0.006204683275137679;46_47:0.0037383369068130223;46_55:0.00916715160426157","46_45:1;46_47:1;46_55:1","46_45:68;46_47:68;46_55:68","true"
"47","157.56957806078475","65.21272647264473","0.01318359375","0.0166015625","0.009765625","1560","0.0004397466490103371","0.0004397466490103371","0","0.0004397466490103371","0.0004397466490103371","47_48:0.004308285409589052;47_46:0.0037383369068130223","47_48:1;47_46:1","47_48:68;47_46:68","true"
"48","217.56901317701684","268.2191425719656","0.02099609375","0.02099609375","0.02099609375","1560","0.00012521567320192533","0.00012521567320192533","0","0.00012521567320192533","0.00012521567320192533","48_36:0.0031495094266065227;48_47:0.004308285409589052;48_49:0.0031386987464225857","48_36:0.005673153998585756;48_47:1;48_49:1","48_36:68;48_47:68;48_49:68","true"
"49","152.7799843182691","117.95897841323428","0.0205078125","0.0234375","0.017578125","1560","0.00026601312861440797","0.00026601312861440797","0","0.00026601312861440797","0.00026601312861440797","49_48:0.0031386987464225857;49_50:0.003700492859889881","49_48:1;49_50:1","49_48:68;49_50:68","true"
"50","229.3253781846935","202.6012774316145","0.101806640625","0.05810546875","0.1455078125","1560","0.0010612206426766776","0.0010612206426766776","0","0.0010612206426766776","0.0010612206426766776","50_56:0.006221376527367428;50_49:0.003700492859889881;50_51:0.004779505316160115","50_56:1;50_49:1;50_51:1","50_56:68;50_49:68;50_51:68","true"
"51","295.3008921949009","174.83833101656876","0.00732421875","0.009765625","0.0048828125","1560","0.00018497550818606244","0.00018497550818606244","0","0.00018497550818606244","0.00018497550818606244","51_50:0.004779505316160115;51_52:0.0036013535013594833","51_50:1;51_52:1","51_50:68;51_52:68","true"
"52","189.27221044690657","272.2263915673138","0.03759765625","0.0166015625","0.05859375","1560","0.0001360609909922624","0.0001360609909922624","0","0.0001360609909922624","0.0001360609909922624","52_51:0.0036013535013594833;52_37:0.0034343999171869144","52_51:1;52_37:1","52_51:68;52_37:104","true"
"53","62.544194427338425","63.64862937225161","0.10107421875","0.16259765625","0.03955078125","1560","0.01654053537639973","0.01654053537639973","0","0.01654053537639973","0.01654053537639973","53_38:0.05278647136481929;53_57:0.0342948789458869","53_38:1;53_57:1","53_38:68;53_57:108","true"
"54","241.60937631494127","148.8300365412422","0.013916015625","0.01171875","0.01611328125","1560","0.00022132285635022197","0.00022132285635022197","0","0.00022132285635022197","0.00022132285635022197","54_42:0.002443480659265751;54_61:0.00479124076612053","54_42:1;54_61:0.0037146582640779358","54_42:80;54_61:152","true"
"55","150.3150989874975","113.63204515516284","0.02587890625","0.04541015625","0.00634765625","1560","0.0013975414616454625","0.0013975414616454625","0","0.0013975414616454625","0.0013975414616454625","55_65:0.0063715091069484475;55_46:0.00916715160426157","55_65:1;55_46:1","55_65:120;55_46:68","true"
"56","209.07455641093327","184.96831509712183","0.018798828125","0.02294921875","0.0146484375","1560","0.0005341981169322188","0.0005341981169322188","0","0.0005341981169322188","0.0005341981169322188","56_50:0.006221376527367428;56_69:0.006971273789381338","56_50:1;56_69:0.007592597809531587","56_50:68;56_69:160","true"
"57","100.33165456816779","124.11752053803951","0.021484375","0.029296875","0.013671875","1560","0.0009787625522034518","0.0009787625522034518","0","0.0009787625522034518","0.0009787625522034518","57_53:0.0342948789458869;57_58:0.0044135057336059935","57_53:1;57_58:1","57_53:108;57_58:68","true"
"58","137.50836257322604","95.6361715254871","0.212890625","0.00244140625","0.42333984375","1560","0.0002870752883525333","0.0002870752883525333","0","0.0002870752883525333","0.0002870752883525333","58_57:0.0044135057336059935;58_59:0.003180050935234102","58_57:1;58_59:1","58_57:68;58_59:68","true"
"59","102.56862512377418","181.47312626832647","0.2060546875","0.1416015625","0.2705078125","1560","0.00022768097757476524","0.00022768097757476524","0","0.00022768097757476524","0.00022768097757476524","59_72:0.002996055879409265;59_58:0.003180050935234102;59_60:0.0026669960699287065","59_72:1;59_58:1;59_60:1","59_72:68;59_58:68;59_60:68","true"
"60","178.771345142562","248.03192899556575","0.005859375","0.0087890625","0.0029296875","1560","0.0001832646735405645","0.0001832646735405645","0","0.0001832646735405645","0.0001832646735405645","60_61:0.00273097178847187;60_59:0.0026669960699287065","60_61:1;60_59:1","60_61:68;60_59:68","true"
"61","206.92408752822163","209.04494793755674","0.032470703125","0.02734375","0.03759765625","1560","0.0003224309667742514","0.0003224309667742514","0","0.0003224309667742514","0.0003224309667742514","61_60:0.00273097178847187;61_62:0.010796007537253738;61_54:0.00479124076612053","61_60:1;61_62:1;61_54:0.0037146582640779358","61_60:68;61_62:68;61_54:152","true"
"62","142.65297115444955","83.25945134318232","0.02392578125","0.03369140625","0.01416015625","1560","0.0032328604319464263","0.0032328604319464263","0","0.0032328604319464263","0.0032328604319464263","62_61:0.010796007537253738;62_63:0.025507866649415678","62_61:1;62_63:1","62_61:68;62_63:164","true"
"63","156.65449885394972","127.88472149344503","0.03857421875","0.04052734375","0.03662109375","1560","0.0006199812543788951","0.0006199812543788951","0","0.0006199812543788951","0.0006199812543788951","63_62:0.025507866649415678;63_64:0.0040112262099143425;63_73:0.005225786870078575","63_62:1;63_64:1;63_73:1","63_62:164;63_64:68;63_73:88","true"
"64","199.95830542659394","135.738306332137","0.095947265625","0.07373046875","0.1181640625","1560","0.00020857355892165617","0.00020857355892165617","0","0.00020857355892165617","0.00020857355892165617","64_65:0.0023010517094064764;64_63:0.0040112262099143425","64_65:1;64_63:1","64_65:68;64_63:68","true"
"65","196.7790172436893","137.8426075683131","0.0087890625","0.01220703125","0.00537109375","1560","0.00027315033229165816","0.00027315033229165816","0","0.00027315033229165816","0.00027315033229165816","65_55:0.0063715091069484475;65_64:0.0023010517094064764;65_66:0.0026198548039268466","65_55:1;65_64:1;65_66:1","65_55:120;65_64:68;65_66:68","true"
"66","156.06594131720146","167.3134515662311","0.0068359375","0.0107421875","0.0029296875","1560","0.0002852157624496212","0.0002852157624496212","0","0.0002852157624496212","0.0002852157624496212","66_65:0.0026198548039268466;66_67:0.003799549406386604","66_65:1;66_67:1","66_65:68;66_67:68","true"
"67","130.80147015001793","144.29171439232377","0.03759765625","0.04345703125","0.03173828125","1560","0.00020611154121660054","0.00020611154121660054","0","0.00020611154121660054","0.00020611154121660054","67_68:0.003006259546880774;67_74:0.004611081902769931;67_66:0.003799549406386604","67_68:1;67_74:1;67_66:1","67_68:88;67_74:72;67_66:68","true"
"68","147.65731959384598","71.36431021211143","0.005615234375","0.0087890625","0.00244140625","1560","0.00048506507322632774","0.00048506507322632774","0","0.00048506507322632774","0.00048506507322632774","68_67:0.003006259546880774;68_69:0.005045083217984692","68_67:1;68_69:1","68_67:88;68_69:68","true"
"69","232.1962263918321","84.35852027649818","0.03173828125","0.025390625","0.0380859375","1560","0.0005146549604741264","0.0005146549604741264","0","0.0005146549604741264","0.0005146549604741264","69_56:0.006971273789381338;69_68:0.005045083217984692;69_70:0.004250368931038195","69_56:0.007592597809531587;69_68:1;69_70:1","69_56:160;69_68:68;69_70:68","true"
"70","92.36887167875427","41.16855767073465","0.052001953125","0.0390625","0.06494140625","1560","0.0006848170604076458","0.0006848170604076458","0","0.0006848170604076458","0.0006848170604076458","70_69:0.004250368931038195;70_71:0.005990401927771949","70_69:1;70_71:1","70_69:68;70_71:68","true"
"71","185.31061933075418","37.44579911528092","0.030029296875","0.03662109375","0.0234375","1560","0.0005627099135932686","0.0005627099135932686","0","0.0005627099135932686","0.0005627099135932686","71_75:0.005789823495786661;71_70:0.005990401927771949","71_75:1;71_70:1","71_75:112;71_70:68","true"
"72","223.12156781282852","75.51391565165562","0.01171875","0.01513671875","0.00830078125","1560","0.0001928110169130183","0.0001928110169130183","0","0.0001928110169130183","0.0001928110169130183","72_59:0.002996055879409265;72_78:0.0035892195131058124","72_59:1;72_78:0.003065233066416456","72_59:68;72_78:120","true"
"73","227.2510627631223","111.72959852965941","0.009765625","0.00537109375","0.01416015625","1560","0.00026383378304331193","0.00026383378304331193","0","0.00026383378304331193","0.00026383378304331193","73_82:0.00249276898572387;73_63:0.005225786870078575","73_82:0.0036233510368107458;73_63:1","73_82:88;73_63:88","true"
